0,1,2,3
193.3820931,145,140.9888027,10
191.3277111,102,97.98880273,11
197.1264275,179,174.9888027,14
197.8104754,185,180.9888027,14
200.327313,187,182.9888027,15
184.936969,40,37.78344909,9
193.9607574,145,142,13
187.7489425,51,51,9
191.1988458,94,94,10
192.574659,122,122,12
191.3616467,119,116.7834491,12
194.7285773,155,150.9888027,12
194.9639579,164,159.9888027,15
193.174126,144,139.9888027,13
194.4485917,150,143.7722518,13
195.6380823,179,164,14
196.1361491,174,169.9888027,15
193.6930758,156,141,14
202.6145536,191,186.9888027,15
188.869243,68,68,10
188.4042487,60,60,11
190.7734565,84,84,11
189.6396579,80,78.16223484,11
190.0263844,83,81.16223484,11
190.3523732,98,95.78344909,11
190.1311406,96,88.80466285,11
191.0790887,121,118.7834491,9
190.9890636,107,104.7834491,9
190.8554071,99,96.78344909,11
191.362987,127,124.7834491,10
193.6939857,146,141.9888027,12
192.9383364,142,137.9888027,11
198.1346891,159,154.9888027,11
202.5809215,160,155.9888027,12
196.884546,151,146.9888027,11
192.5061005,133,126.7722518,10
176.6114163,84,84,6
195.5760886,142,137.9456839,10
196.0263613,149,144.9456839,11
196.7342054,156,151.9456839,11
197.0613557,157,152.9456839,11
185.9753967,52,30.02121377,7
189.9825868,100,100,10
187.6829485,40,40,9
189.8448018,92,89.78344909,9
192.2520106,135,135,9
192.6750701,137,137,9
191.5089759,129,129,9
191.1657174,119,119,9
188.577531,72,72,8
189.1814161,86,86,9
190.9508454,113,113,10
187.4787226,36,36,11
188.4580821,58,58,9
188.5052729,66,66,10
188.2043366,52,52,8
183.4998197,31,16,8
178.9952985,26,15,6
188.5033204,62,57.98880273,8
188.9433568,70,65.98880273,8
189.3515547,85,83.16223484,10
191.4922418,128,122.1510376,9
194.4050883,155,148.5407918,10
193.3982106,146,139.5407918,10
197.3114882,168,163.3785569,12
193.7853308,153,146.5407918,10
190.6078228,104,101.7834491,8
192.4120868,141,135.1510376,9
190.879516,119,113.1510376,8
192.5763655,144,138.1510376,10
191.9626461,141,127.545634,9
189.8340357,93,91.16223484,9
182.8746948,46,41.98880273,6
183.3137896,42,25.29712851,10
189.3938462,73,73,10
188.3666886,54,54,12
189.0860532,66,66,11
190.9642761,96,96,10
191.0012497,116,116,12
191.6667492,136,134.1622348,10
192.697032,139,137.1622348,11
193.9561147,149,147.1622348,10
193.6524718,145,145,10
190.3900816,89,89,11
200.7147163,157,155.1622348,13
197.1705758,156,154.1622348,12
190.4931597,93,93,10
193.2062407,140,138.1622348,10
190.0419723,77,75.16223484,10
184.4442177,58,48,7
192.366833,121,113.7213285,11
193.2488666,136,128.7213285,11
193.0562641,132,124.7213285,11
192.5785711,130,122.7213285,11
189.8323059,79,71.07562641,9
191.7068855,116,101.9888027,11
179.2619609,50,45.98880273,6
197.2929347,164,159.9888027,11
198.9894607,172,167.9888027,13
196.9017654,162,157.9888027,11
194.7821868,148,143.9888027,13
196.2863219,161,156.9888027,12
195.9205362,148,146.1622348,13
197.635375,169,164.9888027,12
189.1275206,71,66.98880273,11
193.3816966,142,137.9888027,10
192.0528483,112,107.9888027,10
188.1044981,52,52,8
190.147417,81,81,8
190.262839,89,88.3542979,11
191.9870266,113,105.0756264,11
191.0950309,105,97.07562641,11
189.0595652,63,63,13
177.3765699,49,28.01752071,7
188.0285843,49,46.58930338,13
191.3938878,118,111.5781061,9
181.8190938,39,26.83228752,8
191.1440875,115,108.3750974,10
194.2630655,146,140.1510376,10
194.0941377,144,138.1510376,10
191.4899464,123,116.3750974,10
193.1186545,136,130.1510376,9
195.6458113,149,144.9888027,11
196.4881079,150,148.1622348,12
193.411034,138,137.293894,11
192.9563891,131,125.1510376,8
190.7098537,104,95.3615552,9
189.9996314,98,91.57810611,10
189.988125,100,85.98880273,10
189.2089479,79,76.58930338,10
187.3474396,39,32.85585043,9
197.567231,182,165.8805411,13
194.9651487,166,149.8805411,11
195.9751122,174,157.8805411,12
193.1677462,135,125,12
201.2027967,188,171.943128,13
203.9013411,188,181.7722518,13
190.2235467,96,93.78344909,13
188.6876036,74,74,11
187.2822205,40,40,10
189.5867421,94,92.16223484,12
189.2452252,83,83,11
191.7604733,119,119,10
185.2317122,47,32,10
191.1405658,100,100,9
191.4863716,110,110,10
197.2060225,169,164.9888027,11
195.9907072,165,160.9888027,11
188.6455885,58,58,11
193.5071542,132,132,10
176.9643572,26,16,6
187.6834852,42,42,8
189.2300756,87,84.78344909,13
192.5502921,129,122.7834491,11
187.4643114,38,35.78344909,11
189.4757187,97,94.78344909,9
186.4653436,22,19.78344909,10
190.365002,113,110.7834491,11
190.8860488,121,118.7834491,11
188.7464094,71,68.78344909,12
189.2213762,80,77.78344909,11
191.6333382,123,118.9456839,9
179.3131132,8,8,8
200.7650467,163,158.9888027,12
193.3217122,147,142.9888027,11
193.2100654,143,138.9888027,11
196.0763896,153,148.9888027,12
200.0526719,157,152.9888027,13
192.7466458,139,134.9888027,10
204.3888476,165,160.9888027,12
173.4874491,0,0,10
193.6315173,146,137.1510376,11
191.5600852,125,116.1510376,11
193.9157978,158,152.1510376,12
197.1985248,187,181.1510376,13
199.0490051,190,184.1510376,13
195.8688111,177,171.1510376,12
197.0770637,180,174.1510376,12
194.1790788,165,159.1510376,12
190.5321638,111,108.7834491,10
191.645949,121,118.7834491,10
191.7302236,134,129.9456839,11
190.2005386,98,93.94568393,13
188.8540233,67,64.78344909,13
193.4111701,137,134.7834491,11
188.295165,59,56.78344909,13
190.2967498,100,98.16223484,12
191.1584473,112,110.1622348,12
173.9968701,33,28.98880273,6
189.5908896,75,75,12
186.0159921,61,39,6
188.0727071,52,52,9
188.398361,63,53,11
188.5105597,68,66.16223484,13
192.3109618,133,131.1622348,11
190.4056088,105,103.1622348,10
191.1753663,128,126.1622348,10
193.2297165,138,136.1622348,10
190.7342866,114,112.1622348,11
190.5122331,112,110.1622348,11
193.8409187,155,153.1622348,11
193.7314811,154,151.7834491,11
195.3337733,157,155.1622348,12
197.5161481,168,158.1604047,12
190.0222964,98,93.98880273,9
189.4014124,91,89.16223484,10
181.8956998,47,47,9
189.1691718,73,73,9
189.3633816,85,85,10
194.441328,146,143.7834491,12
194.9339414,151,148.7834491,13
197.9699117,161,156.9456839,14
200.7706585,167,162.9456839,14
192.8785578,137,134.7834491,13
197.5058699,158,149.9456839,14
193.9465524,144,141.7834491,12
190.80573,119,116.7834491,11
197.6907062,156,154.1622348,14
189.6706844,93,93,13
188.7224392,65,65,12
193.0519751,140,140,12
191.9851318,132,132,12
191.541591,129,125,13
189.3515392,72,72,13
187.8129206,44,44,11
190.4918372,97,97,10
176.4524558,29,29,5
189.5039188,82,80.16223484,9
188.3464335,66,64.16223484,9
189.9574053,98,96.16223484,9
193.1201427,142,140.1622348,11
193.4224062,148,146.1622348,11
194.0919677,154,152.1622348,11
191.5803777,140,130.7420629,9
196.7575859,162,162,12
195.361341,160,160,12
190.3143147,111,111,8
201.7028731,186,171.9888027,14
199.8749295,188,169.9888027,15
189.4570194,70,70,8
187.9690562,44,42.16223484,9
189.5318492,90,88.16223484,8
181.435519,19,19,5
187.6105485,35,35,14
183.4542982,27,22.98880273,8
189.1104511,65,59.15103757,13
193.0729259,136,127.9344867,10
190.2790649,103,100.7834491,11
190.9275408,111,108.7834491,10
191.9563597,126,119.7722518,10
200.35725,184,179.9456839,13
199.6274511,178,173.9456839,13
194.127262,164,155.9344867,13
195.2375462,165,158.7722518,12
193.6137765,157,148.9344867,12
193.1305429,147,130.9326566,11
193.5556897,144,137.7722518,11
191.9942307,127,120.7722518,9
188.9088858,51,51,10
189.6640524,95,81,11
189.9274256,93,89,10
197.4909678,175,164.7810779,14
188.2096893,35,35,12
184.1336577,11,0,7
190.2416568,110,94.98880273,13
192.3331972,120,118.1622348,11
190.9480302,98,96.16223484,11
193.4563642,122,120.1622348,10
194.661566,136,131.9888027,10
199.3673241,171,166.9888027,13
212.8340794,177,172.9888027,14
195.207988,148,143.9888027,12
197.7189684,170,165.9888027,13
194.2369447,136,124.3833991,10
197.495015,161,156.9888027,11
197.2837414,160,155.9888027,11
195.5017327,152,147.9888027,11
188.9715789,53,53,11
184.9465622,35,10,9
186.8298416,50,47.78344909,7
187.6016896,38,33.94568393,8
193.5235507,156,151.5768016,11
193.4918023,142,137.5768016,10
193.2416206,136,130.3394359,12
194.1327564,164,158.3394359,11
191.7647193,118,118,10
196.2615433,167,161.7421061,10
190.2405001,105,96.98880273,11
190.0674637,104,89,10
189.5947211,90,71,11
190.7132428,119,114.9888027,10
187.154734,31,31,10
192.2315537,133,128.9888027,11
182.0570196,16,16,9
188.9618166,58,53.98880273,12
196.7143082,170,164.7421061,11
196.8314987,173,167.7421061,12
188.4542317,46,46,11
201.6333691,187,181.1510376,14
200.9893588,186,180.1510376,14
195.3436891,151,149.1622348,12
196.0917472,179,163.2177332,13
199.0775171,184,178.1510376,13
196.7294704,178,172.1510376,13
195.6944517,166,160.1510376,12
196.4359626,174,168.1510376,13
195.4374539,164,158.1510376,13
200.0602856,185,179.1510376,13
193.9117935,145,140.9888027,10
190.6964692,101,101,11
191.6382941,121,121,11
192.8191126,131,131,10
193.2338937,143,138.9888027,10
192.9204972,141,136.9888027,10
185.0300466,71,71,9
182.3351805,56,44.16223484,6
191.4773745,115,110.9888027,11
194.1860785,151,145.1510376,10
190.1406342,97,97,13
189.722257,83,83,13
189.4919091,81,81,10
183.4948473,43,43,6
190.1910003,83,83,11
191.0536821,105,102.7834491,10
202.9519066,180,175.9456839,14
197.0253386,173,160.7834491,13
201.2398964,170,165.9456839,14
202.2363557,178,173.9456839,14
201.9438445,175,170.9456839,14
196.1458659,163,153.2910146,13
189.0733947,75,75,9
191.647235,120,117.7834491,12
190.3978495,98,98,11
188.9527362,66,66,9
188.3293285,54,51.78344909,10
190.3849972,94,91.78344909,9
192.8089982,136,133.7834491,11
195.4727333,148,145.7834491,12
192.1773897,125,115.8835634,9
193.0710561,133,123.8835634,9
194.4766619,143,133.8835634,10
191.0355443,97,91,10
189.4818355,81,75,10
196.5807936,163,142.4196753,11
194.7021314,141,135.6356705,10
194.3980559,138,132.6356705,10
195.8931521,158,137.4196753,11
189.6345889,81,77,11
207.0478252,148,143.9888027,12
188.438483,59,59,12
191.0658505,112,107.9888027,9
191.57568,116,110.6356705,9
191.5120296,116,110.2793007,9
190.0757165,86,84.29049797,9
192.6205167,131,122.3681963,10
192.5568663,131,122.0118265,10
194.3173749,137,130.7722518,11
193.9089605,132,127.9888027,11
185.0440955,46,16,10
185.5503584,61,39,7
185.9257694,0,0,10
186.9793193,16,16,11
199.1244082,159,153.1510376,12
200.6584021,163,157.1510376,12
191.7109699,134,132.1622348,11
193.0384114,136,134.1622348,13
190.9832688,114,112.1622348,12
191.4334292,130,128.1622348,12
189.9754132,96,96,10
189.5171282,84,84,9
187.8584304,46,46,11
190.4651573,105,105,11
188.375474,64,60,12
194.0651813,152,147.9888027,11
193.7663756,140,135.9888027,11
198.6033856,156,151.9888027,12
187.5875093,35,35,11