station,real_rent_745-800,real_return_745-800,pred_rent_800-900,pred_return_800_900
11101,1,0,3,1
11102,2,22,15,28
11103,4,0,14,23
11104,9,2,10,14
11105,3,8,10,41
11106,0,1,6,14
11107,4,13,30,14
11123,0,1,10,0
11126,8,2,17,6
11127,5,1,13,9
11128,3,3,14,29
11129,2,1,11,11
11130,10,4,29,4
11153,0,2,3,4
11157,1,2,15,7
13062,6,2,20,11
13064,1,2,3,6
13070,4,2,10,10
13072,0,3,3,16
13073,0,1,5,1
13075,0,0,2,4
13094,5,1,4,6
13095,2,1,8,9
13096,1,1,7,8
13097,8,2,11,14
13098,4,3,15,6
13099,0,2,2,0
15098,0,1,8,8
15099,0,2,1,1
15100,2,0,17,13
15101,0,3,20,24
15118,0,0,6,12
15120,2,0,0,0
15143,5,1,11,20
15144,3,10,12,12
15148,2,3,10,16
11001,6,5,22,22
11002,1,1,15,9
11003,2,5,19,9
11004,0,3,11,14
11005,4,3,6,13
11006,0,0,0,0
11007,1,0,8,11
11008,1,1,1,4
11009,2,2,11,3
11011,8,2,16,38
11012,1,11,10,38
11013,6,4,9,26
11014,4,2,21,16
11015,0,0,6,5
11016,0,3,12,12
11018,3,2,35,3
11019,1,6,5,12
11020,2,4,11,11
11021,8,5,30,18
11022,0,2,2,13
11023,1,1,1,4
11024,4,1,2,2
11025,1,1,3,1
11026,1,2,13,6
11027,3,1,9,22
11028,7,6,15,64
11029,2,0,8,16
11030,4,2,8,7
11031,2,4,14,6
11034,1,0,1,0
11035,1,1,3,1
11271,0,0,4,2
11272,2,2,6,7
13001,0,0,7,6
13002,4,6,13,45
13003,1,2,4,14
13004,7,6,20,9
13005,4,0,17,6
13006,0,0,5,1
13007,1,1,4,3
13009,1,0,13,15
13010,3,5,22,22
13011,0,5,5,19
13012,0,4,13,14
13013,4,2,31,20
13014,2,2,7,9
13015,2,6,11,6
13016,6,4,10,8
13017,3,0,6,2
13025,17,6,58,25
13026,1,2,4,2
13061,1,1,11,18
15001,9,0,34,4
15002,5,1,12,3
15003,12,3,48,29
15004,0,4,21,20
15005,1,2,2,18
15006,1,1,7,6
15007,7,3,29,19
15008,2,2,10,10
15009,5,1,9,14
15011,0,1,7,11
15012,5,3,35,14
15013,0,0,1,29
15014,7,5,17,15
15015,4,7,16,16
15016,2,4,10,17
15017,3,0,17,35
15018,4,5,16,28
15019,3,2,15,11
15020,0,0,10,8
15021,1,1,4,4
15022,4,6,17,54
15023,5,1,7,9
15024,0,0,3,4
15025,3,4,19,14
15026,2,2,7,11
15027,1,5,7,8
15028,1,6,37,12
15029,19,4,54,19
15030,7,5,9,13
15031,11,3,21,14
15032,0,5,8,12
15033,3,7,30,22
15034,6,6,58,31
15035,3,1,16,19
15036,1,3,9,8
15037,8,13,28,58
15038,3,1,14,9
15039,0,0,5,8
15040,3,3,11,29
15042,8,2,26,44
15043,1,2,5,14
15044,6,5,28,6
15045,8,2,13,8
15046,1,3,17,11
15047,4,2,17,11
15048,8,15,59,57
15049,6,7,23,11
15051,0,0,6,12
15052,0,1,12,13
15053,3,6,13,19
15054,3,1,10,3
15055,3,4,3,4
15056,3,1,3,2
15057,3,1,13,14
15058,11,5,39,14
15059,2,1,5,17
15060,2,1,5,15
15061,1,0,4,2
15062,1,0,4,2
15063,3,13,13,18
15064,3,1,3,9
15065,1,2,7,12
15066,0,1,13,7
15067,5,2,6,3
15068,8,2,26,11
15069,1,3,2,0
15070,2,2,9,2
15075,8,1,18,15
15076,5,4,15,37
15077,6,2,11,15
15079,1,0,1,7
15083,0,0,0,0
15084,0,1,4,2
15087,0,0,7,2
15088,4,1,9,2
15090,1,2,11,7