ID,,,,
1,6,10,31,17
2,4,7,1,1
3,10,15,10,10
4,0,1,1,0
5,1,2,3,2
6,20,21,24,21
7,8,6,12,4
8,9,8,12,6
9,10,7,9,2
10,26,26,10,20
11,1,3,0,0
12,6,11,10,12
13,0,3,2,6
14,4,4,3,4
15,3,9,12,14
16,18,9,8,8
17,10,1,8,5
18,4,16,19,3
19,6,11,6,5
20,17,21,28,13
21,16,10,12,4
22,2,5,7,10
23,2,8,11,6
24,3,9,10,14
25,9,9,7,13
26,3,15,16,16
27,1,2,5,4
28,5,13,7,0
29,1,1,4,0
30,1,2,6,5
31,1,0,1,1
32,2,12,19,26
33,10,8,9,12
34,6,8,8,9
35,1,2,5,2
36,1,2,4,1
37,3,3,2,1
38,15,8,9,4
39,3,2,3,1
40,48,46,28,33
41,2,1,0,0
42,23,19,12,12
43,5,7,12,10
44,4,5,3,2
45,9,8,7,4
46,13,9,11,6
47,7,5,3,6
48,6,8,25,17
49,10,14,11,9
50,4,5,3,4
51,3,7,10,14
52,7,5,6,2
53,11,12,11,15
54,8,9,13,12
55,7,10,20,14
56,7,4,3,6
57,5,5,3,2
58,5,12,5,5
59,0,0,2,3
60,2,5,5,7
61,5,12,8,8
62,2,5,4,2
63,11,12,9,9
64,2,4,5,3
65,13,8,13,6
66,9,7,10,10
67,6,3,4,5
68,6,8,6,6
69,2,1,5,4
70,23,42,35,20
71,0,1,2,1
72,7,3,7,9
73,2,2,7,6
74,7,7,4,6
75,8,14,6,20
76,4,10,6,4
77,11,3,2,4
78,4,4,3,7
79,4,1,0,1
80,11,16,21,15
81,1,2,4,3
82,11,7,8,4
83,2,0,2,2
84,1,3,0,1
85,7,16,15,20
86,2,1,1,2
87,7,7,7,4
88,12,7,8,9
89,3,4,11,8
90,3,5,10,8
91,19,28,26,14
92,8,11,7,18
93,3,10,2,4
94,3,6,4,7
95,10,6,10,11
96,14,14,11,11
97,12,13,18,9
98,5,1,2,4
99,3,1,1,1
100,16,12,14,6
101,19,10,13,14
102,2,3,1,3
103,3,3,3,3
104,1,1,0,1
105,4,5,5,1
106,15,16,29,15
107,2,2,1,3
108,14,13,19,7
109,2,9,9,5
110,2,8,5,5
111,7,13,16,7
112,3,7,10,8
113,6,4,6,2
114,14,18,29,21
115,2,3,1,4
116,0,0,0,0
117,4,12,10,5
118,7,8,8,11
119,14,16,17,8
120,12,15,15,17
121,10,18,11,40
122,2,0,3,4
123,3,5,2,4
124,6,14,19,10
125,18,11,12,9
126,74,67,50,34
127,1,1,3,2
128,4,3,6,3
129,1,4,5,3
130,7,8,4,7
131,5,6,8,10
132,12,11,11,7
133,11,13,11,3
134,1,2,4,2
135,10,28,27,27
136,3,3,6,8
137,12,9,11,7
138,2,3,8,0
139,8,9,9,5
140,6,7,10,4
141,1,4,3,3
142,11,6,5,3
143,4,1,2,3
144,5,4,4,4
145,9,15,16,10
146,20,21,21,12
147,2,6,6,3
148,9,8,16,15
149,3,1,1,2
150,0,1,0,0
151,3,4,6,2
152,4,13,9,3
153,5,4,1,3
154,9,11,16,8
155,13,4,8,17
156,12,22,17,18
157,4,2,2,2
158,11,6,6,6
159,4,6,12,12
160,2,7,16,13
161,8,10,12,19
162,6,20,15,11
163,2,2,4,0
164,1,3,3,3
165,1,7,6,4
166,2,7,6,6
167,8,3,4,2
168,6,3,6,4
169,12,23,21,25
170,2,2,3,5
171,20,28,20,13
172,5,8,4,2
173,3,4,7,3
174,3,2,9,6
175,1,2,5,4
176,6,6,10,9
177,2,3,2,7
178,13,10,12,5
179,7,4,4,9
180,31,34,33,21
181,5,5,7,4
182,29,27,22,25
183,0,5,11,3
184,3,9,9,5
185,15,10,6,6
186,3,17,16,4
187,2,6,4,8
188,4,4,1,3
189,12,16,14,19
190,23,18,25,13
191,8,11,5,20
192,3,3,2,5
193,22,35,31,11
194,4,11,8,18
195,14,26,15,34
196,4,6,7,6
197,3,10,4,2
198,12,15,17,15
199,5,2,6,3
200,3,6,5,3
201,10,3,4,6
202,4,2,13,13
203,9,13,10,8
204,4,2,4,0
205,7,7,8,12
206,3,9,6,7
207,1,2,6,8
208,6,10,9,4
209,8,7,12,9
210,21,27,27,20
211,1,2,3,5
212,6,2,5,5
213,5,11,5,6
214,2,2,3,5
215,16,30,24,13
216,22,24,16,12
217,4,2,3,4
218,5,4,3,3
219,7,19,4,7
220,12,6,10,8
221,4,3,2,9
222,28,27,30,16
223,19,29,22,20
224,3,5,1,3
225,16,16,18,18
226,9,6,8,6
227,10,15,13,13
228,2,3,3,2
229,6,2,5,6
230,9,13,10,16
231,2,0,0,0
232,21,4,5,4
233,14,11,18,4
234,7,9,5,4
235,5,1,4,3
236,11,5,6,10
237,0,3,5,10
238,3,1,0,0
239,10,8,8,7
240,24,28,30,15
241,5,4,9,5
242,11,11,9,10
243,10,17,14,15
244,3,3,1,5
245,3,10,8,3
246,10,13,12,10
247,1,5,5,1
248,2,0,2,2
249,5,8,7,8
250,11,7,7,7
251,27,49,55,26
252,2,3,1,11
253,3,3,6,2
254,0,3,8,4
255,6,4,9,6
256,13,2,1,5
257,10,7,18,7
258,4,7,12,10
259,1,5,6,7
260,15,13,9,10
261,8,4,3,3
262,14,18,35,14
263,9,2,1,2
264,3,3,1,4
265,18,10,12,8
266,12,21,30,38
267,8,18,10,13
268,0,0,3,3
269,8,7,16,9
270,4,6,5,4
271,7,7,7,8
272,15,21,15,9
273,5,5,2,9
274,16,15,9,15
275,7,10,11,19
276,15,13,31,23
277,2,1,0,1
278,5,12,17,8
279,4,2,3,1
280,2,7,13,18
281,17,19,23,22
282,3,4,0,3
283,2,10,18,28
284,3,0,1,1
285,14,26,18,15
286,10,3,13,1
287,5,6,17,5
288,7,12,10,21
289,8,8,16,11
290,3,8,10,12
291,7,22,19,37
292,6,14,20,15
293,2,1,0,0
294,18,18,19,13
295,6,7,9,8
296,10,19,17,15
297,2,2,5,8
298,0,10,7,8
299,0,2,1,0
300,6,2,5,2